poleId,height,heightNumeric,diameter,poleType,status,latitude,longitude,ponNumber,zoneNumber,dropCount
LAW.P.D872,7m,7.0,140-160mm,feeder,Permission not granted,-26.37951431,27.807756904732898,193,17,0
LAW.P.D873,7m,7.0,140-160mm,feeder,Permission not granted,-26.37933649,27.807722453839098,193,17,0
LAW.P.D874,7m,7.0,140-160mm,feeder,Permission not granted,-26.37929924,27.80795934,193,17,0
LAW.P.D875,7m,7.0,140-160mm,feeder,Permission not granted,-26.37926199,27.808196236816098,193,17,0
LAW.P.D876,7m,7.0,140-160mm,feeder,Permission not granted,-26.37914633,27.80792971,193,17,0
LAW.P.D877,7m,7.0,140-160mm,feeder,Permission not granted,-26.37917737,27.807732303971598,193,17,0
LAW.P.D878,7m,7.0,120-140mm,distribution,Permission not granted,-26.37892137,27.80788612,193,17,0
LAW.P.D879,7m,7.0,140-160mm,feeder,Permission not granted,-26.37881034,27.8078646,193,17,0
LAW.P.D880,7m,7.0,140-160mm,feeder,Permission not granted,-26.37884138,27.807667167119497,193,17,0
LAW.P.D881,7m,7.0,120-140mm,distribution,Permission not granted,-26.37869916,27.807843059274898,193,17,0
LAW.P.D882,7m,7.0,140-160mm,feeder,Permission not granted,-26.37847243,27.807799125994002,193,17,0
LAW.P.D883,7m,7.0,140-160mm,feeder,Permission not granted,-26.37850347,27.807601689873497,193,17,0
LAW.P.D884,7m,7.0,120-140mm,distribution,Permission not granted,-26.37836131,27.8077776,193,17,0
LAW.P.D885,7m,7.0,140-160mm,feeder,Permission not granted,-26.3781346,27.80773367,193,17,0
LAW.P.D886,7m,7.0,140-160mm,feeder,Permission not granted,-26.37817182,27.80749681,193,17,0
LAW.P.D887,7m,7.0,140-160mm,feeder,Permission not granted,-26.37809736,27.807970619393398,193,17,0
LAW.P.D888,7m,7.0,140-160mm,feeder,Permission not granted,-26.37978591,27.8080689,194,17,0
LAW.P.D889,7m,7.0,140-160mm,feeder,Permission not granted,-26.37982822,27.80779983,194,17,0
LAW.P.D890,7m,7.0,120-140mm,distribution,Permission not granted,-26.37976396,27.80820847,194,17,0
LAW.P.D891,7m,7.0,140-160mm,feeder,Permission not granted,-26.37974254,27.80834468,194,17,0
LAW.P.D892,7m,7.0,120-140mm,distribution,Permission not granted,-26.37989703,27.80809043,194,17,0
LAW.P.D893,7m,7.0,120-140mm,distribution,Permission not granted,-26.38001261,27.80811283,194,17,0
LAW.P.D894,7m,7.0,140-160mm,feeder,Permission not granted,-26.38012376,27.80813437,194,17,0
LAW.P.D895,7m,7.0,140-160mm,feeder,Permission not granted,-26.38009253,27.808333031418897,194,17,0
LAW.P.D896,7m,7.0,120-140mm,distribution,Permission not granted,-26.38035046,27.808178295859598,194,17,0
LAW.P.D897,7m,7.0,140-160mm,feeder,Permission not granted,-26.38046161,27.80819983,194,17,0
LAW.P.D898,7m,7.0,140-160mm,feeder,Permission not granted,-26.38043037,27.80839846,194,17,0
LAW.P.D899,7m,7.0,120-140mm,distribution,Permission not granted,-26.38068831,27.808243761740798,194,17,0
LAW.P.D900,7m,7.0,140-160mm,feeder,Permission not granted,-26.38079942,27.80826529,194,17,0
LAW.P.D901,7m,7.0,140-160mm,feeder,Permission not granted,-26.38076817,27.808463934143003,194,17,0
LAW.P.D902,7m,7.0,120-140mm,distribution,Permission not granted,-26.38091055,27.808286826280003,194,17,0
LAW.P.D903,7m,7.0,140-160mm,feeder,Permission not granted,-26.38113727,27.808330760379004,194,17,0
LAW.P.D904,7m,7.0,140-160mm,feeder,Permission not granted,-26.38116812,27.80813455,194,17,0
LAW.P.D905,7m,7.0,140-160mm,feeder,Permission not granted,-26.38110604,27.80852942,194,17,0
LAW.P.D906,7m,7.0,140-160mm,feeder,Permission not granted,-26.38196045,27.805362578599002,195,18,0
LAW.P.D907,7m,7.0,120-140mm,distribution,Permission not granted,-26.3821116,27.80539185,195,18,0
LAW.P.D908,7m,7.0,120-140mm,distribution,Permission not granted,-26.38222718,27.805414240374798,195,18,0
LAW.P.D909,7m,7.0,120-140mm,distribution,Permission not granted,-26.38234276,27.80543663,195,18,0
LAW.P.D910,7m,7.0,120-140mm,distribution,Permission not granted,-26.38245834,27.80545901,195,18,0
LAW.P.D911,7m,7.0,120-140mm,distribution,Permission not granted,-26.38257392,27.8054814,195,18,0
LAW.P.D912,7m,7.0,120-140mm,distribution,Permission not granted,-26.3826895,27.80550379,195,18,0
LAW.P.D913,7m,7.0,140-160mm,feeder,Permission not granted,-26.38292026,27.80554848,195,18,0
LAW.P.D914,7m,7.0,140-160mm,feeder,Permission not granted,-26.38294952,27.8053559,195,18,0
LAW.P.D915,7m,7.0,140-160mm,feeder,Permission not granted,-26.38299924,27.80525868,195,18,0
LAW.P.D916,7m,7.0,140-160mm,feeder,Permission not granted,-26.38303028,27.80506122,195,18,0
LAW.P.D917,7m,7.0,120-140mm,distribution,Permission not granted,-26.38314584,27.80508365,195,18,0
LAW.P.D918,7m,7.0,140-160mm,feeder,Permission not granted,-26.38326144,27.80510608,195,18,0
LAW.P.D919,7m,7.0,140-160mm,feeder,Permission not granted,-26.38329158,27.80491421,195,18,0
LAW.P.D920,7m,7.0,120-140mm,distribution,Permission not granted,-26.38351237,27.804956151640837,195,18,0
LAW.P.D921,7m,7.0,140-160mm,feeder,Permission not granted,-26.38368331,27.80498998322553,195,18,0
LAW.P.D922,7m,7.0,140-160mm,feeder,Permission not granted,-26.38380479,27.805148424880898,195,18,0
LAW.P.D923,7m,7.0,140-160mm,feeder,Permission not granted,-26.38415152,27.80521536,195,18,0
LAW.P.D924,7m,7.0,140-160mm,feeder,Permission not granted,-26.38299363,27.8055627,195,18,0
LAW.P.D925,7m,7.0,120-140mm,distribution,Permission not granted,-26.38310048,27.805727008371598,195,18,0
LAW.P.D926,7m,7.0,140-160mm,feeder,Permission not granted,-26.38321142,27.805897616022897,195,18,0
LAW.P.D927,7m,7.0,140-160mm,feeder,Permission not granted,-26.38330102,27.8059865,195,18,0
LAW.P.D928,7m,7.0,140-160mm,feeder,Permission not granted,-26.38340674,27.80614891,195,18,0
LAW.P.D929,7m,7.0,120-140mm,distribution,Permission not granted,-26.38350185,27.806072710327502,195,18,0
LAW.P.D930,7m,7.0,120-140mm,distribution,Permission not granted,-26.38359695,27.80599641,195,18,0
LAW.P.D931,7m,7.0,140-160mm,feeder,Permission not granted,-26.38378716,27.80584382,195,18,0
LAW.P.D932,7m,7.0,140-160mm,feeder,Permission not granted,-26.38191995,27.80484617,196,18,0
LAW.P.D933,7m,7.0,120-140mm,distribution,Permission not granted,-26.3817984,27.80482261,196,18,0
LAW.P.D934,7m,7.0,120-140mm,distribution,Permission not granted,-26.38156724,27.80477781,196,18,0
LAW.P.D935,7m,7.0,120-140mm,distribution,Permission not granted,-26.38145167,27.80475541,196,18,0
LAW.P.D936,7m,7.0,120-140mm,distribution,Permission not granted,-26.38133609,27.804733013588898,196,18,0
LAW.P.D937,7m,7.0,120-140mm,distribution,Permission not granted,-26.38122051,27.80471061,196,18,0
LAW.P.D938,7m,7.0,140-160mm,feeder,Permission not granted,-26.38098935,27.80466581,196,18,0
LAW.P.D939,7m,7.0,140-160mm,feeder,Permission not granted,-26.38186737,27.805191962903898,196,18,0
LAW.P.D940,7m,7.0,140-160mm,feeder,Permission not granted,-26.38184488,27.80534015,196,18,0
LAW.P.D941,7m,7.0,120-140mm,distribution,Permission not granted,-26.38160376,27.80529344,196,18,0
LAW.P.D942,7m,7.0,120-140mm,distribution,Permission not granted,-26.3813478,27.805243846488697,196,18,0
LAW.P.D943,7m,7.0,120-140mm,distribution,Permission not granted,-26.38111664,27.80519906,196,18,0
LAW.P.D944,7m,7.0,120-140mm,distribution,Permission not granted,-26.38100106,27.80517667,196,18,0
LAW.P.D945,7m,7.0,120-140mm,distribution,Permission not granted,-26.38088548,27.80515428,196,18,0
LAW.P.D946,7m,7.0,120-140mm,distribution,Permission not granted,-26.3807699,27.80513189,196,18,0
LAW.P.D947,7m,7.0,120-140mm,distribution,Permission not granted,-26.38065432,27.805109493368096,196,18,0
LAW.P.D948,7m,7.0,120-140mm,distribution,Permission not granted,-26.38053874,27.805087101348402,196,18,0
LAW.P.D949,7m,7.0,120-140mm,distribution,Permission not granted,-26.38030758,27.80504232,196,18,0
LAW.P.D950,7m,7.0,120-140mm,distribution,Permission not granted,-26.380192,27.80501993,196,18,0
LAW.P.D951,7m,7.0,120-140mm,distribution,Permission not granted,-26.38005864,27.804994088870497,196,18,0
LAW.P.D952,7m,7.0,120-140mm,distribution,Permission not granted,-26.37993417,27.80496997,196,18,0
LAW.P.D953,7m,7.0,140-160mm,feeder,Permission not granted,-26.37980081,27.80494414,196,18,0
LAW.P.D954,7m,7.0,140-160mm,feeder,Permission not granted,-26.38017628,27.80450823,197,18,0
LAW.P.D955,7m,7.0,140-160mm,feeder,Permission not granted,-26.38029589,27.804531414241396,197,18,0
LAW.P.D956,7m,7.0,120-140mm,distribution,Permission not granted,-26.38052704,27.804576213762196,197,18,0
LAW.P.D957,7m,7.0,120-140mm,distribution,Permission not granted,-26.38064262,27.804598613594298,197,18,0
LAW.P.D958,7m,7.0,140-160mm,feeder,Permission not granted,-26.3807582,27.804621013474097,197,18,0
LAW.P.D959,7m,7.0,140-160mm,feeder,Permission not granted,-26.38032692,27.804334047129096,197,18,0
LAW.P.D960,7m,7.0,140-160mm,feeder,Permission not granted,-26.3803433,27.804230373175102,197,18,0
LAW.P.D961,7m,7.0,140-160mm,feeder,Permission not granted,-26.38037355,27.80403797,197,18,0
LAW.P.D962,7m,7.0,120-140mm,distribution,Permission not granted,-26.38060471,27.804082750658196,197,18,0
LAW.P.D963,7m,7.0,120-140mm,distribution,Permission not granted,-26.38072029,27.80410514,197,18,0
LAW.P.D964,7m,7.0,120-140mm,distribution,Permission not granted,-26.38095145,27.80414993,197,18,0
LAW.P.D965,7m,7.0,120-140mm,distribution,Permission not granted,-26.38118261,27.80419471,197,18,0
LAW.P.D966,7m,7.0,120-140mm,distribution,Permission not granted,-26.3812982,27.8042171,197,18,0
LAW.P.D967,7m,7.0,120-140mm,distribution,Permission not granted,-26.38141378,27.804239497522598,197,18,0
LAW.P.D968,7m,7.0,120-140mm,distribution,Permission not granted,-26.38164494,27.80428428,197,18,0
LAW.P.D969,7m,7.0,120-140mm,distribution,Permission not granted,-26.38176052,27.80430668,197,18,0
LAW.P.D970,7m,7.0,140-160mm,feeder,Permission not granted,-26.38187432,27.80432872,197,18,0
LAW.P.D971,7m,7.0,140-160mm,feeder,Permission not granted,-26.38190535,27.8041313,197,18,0
LAW.P.D972,7m,7.0,140-160mm,feeder,Permission not granted,-26.38186292,27.804016249271196,197,18,0
LAW.P.D973,7m,7.0,120-140mm,distribution,Permission not granted,-26.38188568,27.803866409205003,197,18,0
LAW.P.D974,7m,7.0,120-140mm,distribution,Permission not granted,-26.38190519,27.80373796,197,18,0
